"Positionsinhaber","Emittent","ISIN","Position","Datum"
"Squarepoint Ops LLC","ADVA Optical Networking SE","DE0005103006","0,52","2017-09-05"
"WorldQuant, LLC","ADVA Optical Networking SE","DE0005103006","0,72","2017-09-05"
"JPMorgan Asset Management (UK) Ltd","zooplus AG","DE0005111702","0,80","2017-09-05"
"Citadel Advisors II LLC","Bertrandt Aktiengesellschaft","DE0005232805","0,61","2017-09-05"
"Citadel Advisors LLC","LANXESS Aktiengesellschaft","DE0005470405","0,74","2017-09-05"
"Citadel Europe LLP","LANXESS Aktiengesellschaft","DE0005470405","1,25","2017-09-05"
"AHL Partners LLP","Evotec AG","DE0005664809","0,75","2017-09-05"
"BlackRock Institutional Trust Company, National Association","Bilfinger SE","DE0005909006","1,68","2017-09-05"
"Millennium International Management LP","Bilfinger SE","DE0005909006","0,57","2017-09-05"
"BlackRock Institutional Trust Company, National Association","Heidelberger Druckmaschinen Aktiengesellschaft","DE0007314007","1,05","2017-09-05"
"Millennium Capital Partners LLP","Nordex SE","DE000A0D6554","0,57","2017-09-05"
"Marshall Wace LLP","TOM TAILOR Holding SE","DE000A0STST2","0,48","2017-09-05"
"JPMorgan Asset Management (UK) Ltd","RIB Software SE","DE000A0Z2XN6","0,58","2017-09-05"
"JPMorgan Asset Management (UK) Ltd","SÜSS MicroTec SE","DE000A1K0235","0,23","2017-09-05"
"ENA Investment Capital LLP","HUGO BOSS AG","DE000A1PHFF7","2,40","2017-09-05"
"Marshall Wace LLP","K+S Aktiengesellschaft","DE000KSAG888","2,80","2017-09-05"
"Old Mutual Global Investors (UK) Limited","ProSiebenSat.1 Media SE","DE000PSM7770","0,80","2017-09-05"
"BlackRock Institutional Trust Company, National Association","Symrise AG","DE000SYM9999","0,59","2017-09-05"
"Macquarie Funds Management Hong Kong Limited","Zeal Network SE","GB00BHD66J44","0,58","2017-09-05"
"BlackRock Investment Management (UK) Limited","ADVA Optical Networking SE","DE0005103006","2,70","2017-09-04"
"Citadel Advisors II LLC","ADVA Optical Networking SE","DE0005103006","1,49","2017-09-04"
"Millennium International Management LP","ADVA Optical Networking SE","DE0005103006","0,84","2017-09-04"
"Squarepoint Ops LLC","ADVA Optical Networking SE","DE0005103006","0,60","2017-09-04"
"BNP PARIBAS SA","CANCOM SE","DE0005419105","1,80","2017-09-04"
"Citadel Advisors LLC","LANXESS Aktiengesellschaft","DE0005470405","0,80","2017-09-04"
"Marshall Wace LLP","Bilfinger SE","DE0005909006","2,08","2017-09-04"
"Millennium International Management LP","Bilfinger SE","DE0005909006","0,60","2017-09-04"
"Marshall Wace LLP","Salzgitter Aktiengesellschaft","DE0006202005","0,96","2017-09-04"
"AKO Capital LLP","GEA Group Aktiengesellschaft","DE0006602006","0,90","2017-09-04"
"Marshall Wace LLP","Nordex SE","DE000A0D6554","2,69","2017-09-04"
"Millennium International Management LP","SMA Solar Technology AG","DE000A0DJ6J9","0,48","2017-09-04"
"Citadel Advisors II LLC","Medigene AG","DE000A1X3W00","0,78","2017-09-04"
"Citadel Europe LLP","K+S Aktiengesellschaft","DE000KSAG888","0,42","2017-09-04"
"BlackRock Investment Management (UK) Limited","ADVA Optical Networking SE","DE0005103006","2,65","2017-09-01"
"Citadel Advisors II LLC","ADVA Optical Networking SE","DE0005103006","1,55","2017-09-01"
"PDT Partners, LLC","ADVA Optical Networking SE","DE0005103006","1,39","2017-09-01"
"WorldQuant, LLC","ADVA Optical Networking SE","DE0005103006","0,53","2017-09-01"
"Systematica Investments Limited","Bertrandt Aktiengesellschaft","DE0005232805","0,51","2017-09-01"
"WorldQuant, LLC","Bertrandt Fahrerprobung Süd GmbH","DE0005232805","0,73","2017-09-01"
"Citadel Europe LLP","LANXESS Aktiengesellschaft","DE0005470405","1,62","2017-09-01"
"Millennium International Management LP","Dürr Aktiengesellschaft","DE0005565204","0,49","2017-09-01"
"BlackRock Institutional Trust Company, National Association","Bilfinger SE","DE0005909006","1,70","2017-09-01"
"AHL Partners LLP","MorphoSys AG","DE0006632003","0,99","2017-09-01"
"Marshall Wace LLP","MorphoSys AG","DE0006632003","1,60","2017-09-01"
"BlackRock Institutional Trust Company, National Association","Heidelberger Druckmaschinen Aktiengesellschaft","DE0007314007","1,13","2017-09-01"
"Capital Fund Management SA","thyssenkrupp AG","DE0007500001","0,50","2017-09-01"
"Greenvale Capital LLP","SMA Solar Technology AG","DE000A0DJ6J9","0,49","2017-09-01"
"Otus Capital Management Limited","Gerresheimer AG","DE000A0LD6E6","0,50","2017-09-01"
"UBS Asset Management (UK) Ltd","AIXTRON SE","DE000A0WMPJ6","1,49","2017-09-01"
"Citadel Advisors II LLC","Medigene AG","DE000A1X3W00","0,85","2017-09-01"
"BlackRock Institutional Trust Company, National Association","Symrise AG","DE000SYM9999","0,60","2017-09-01"
"Schroder Investment Management Limited","Schroder Investment Management Limited","GB0059822006","0,85","2017-09-01"
"HBK Investments L.P.","Acacia Communications, Inc.","US00401C1080","0,58","2017-09-01"
"Marshall Wace LLP","S&T AG","AT0000A0E9W5","0,50","2017-08-31"
"BlackRock Investment Management (UK) Limited","ADVA Optical Networking SE","DE0005103006","2,52","2017-08-31"
"Citadel Advisors II LLC","ADVA Optical Networking SE","DE0005103006","1,67","2017-08-31"
"Millennium International Management LP","ADVA Optical Networking SE","DE0005103006","0,90","2017-08-31"
"Citadel Europe LLP","LANXESS Aktiengesellschaft","DE0005470405","1,54","2017-08-31"
"AHL Partners LLP","Evotec AG","DE0005664809","0,88","2017-08-31"
"AHL Partners LLP","Bilfinger SE","DE0005909006","0,50","2017-08-31"
"BlackRock Institutional Trust Company, National Association","Bilfinger SE","DE0005909006","1,66","2017-08-31"
"AQR Capital Management, LLC","GEA Group Aktiengesellschaft","DE0006602006","1,50","2017-08-31"
"Millennium International Management LP","Deutsche EuroShop AG","DE0007480204","0,61","2017-08-31"
"Marshall Wace LLP","thyssenkrupp AG","DE0007500001","0,48","2017-08-31"
"GLG Partners LP","ElringKlinger AG","DE0007856023","0,60","2017-08-31"
"GSA Capital Partners LLP","Nordex SE","DE000A0D6554","0,72","2017-08-31"
"Tower House Partners LLP","Gerresheimer Group GmbH","DE000A0LD6E6","0,73","2017-08-31"
"Oxford Asset Management","TOM TAILOR Holding SE","DE000A0STST2","0,51","2017-08-31"
"Marshall Wace LLP","freenet AG","DE000A0Z2ZZ5","0,48","2017-08-31"
"Millennium International Management LP","TLG IMMOBILIEN AG","DE000A12B8Z4","0,60","2017-08-31"
"BlackRock Investment Management (UK) Limited","NORMA Group SE","DE000A1H8BV3","0,76","2017-08-31"
"ENA Investment Capital LLP","HUGO BOSS AG","DE000A1PHFF7","2,81","2017-08-31"
"Marshall Wace LLP","Zalando SE","DE000ZAL1111","0,69","2017-08-31"
"Melqart Asset Management (UK) Ltd","Dialog Semiconductor PLC","GB0059822006","0,65","2017-08-31"
"Capital Fund Management SA","ADVA Optical Networking SE","DE0005103006","0,73","2017-08-30"
"Citadel Advisors II LLC","ADVA Optical Networking SE","DE0005103006","1,73","2017-08-30"
"Marshall Wace LLP","ADVA Optical Networking SE","DE0005103006","1,13","2017-08-30"
"Millennium International Management LP","ADVA Optical Networking SE","DE0005103006","0,80","2017-08-30"
"PDT Partners, LLC","ADVA Optical Networking SE","DE0005103006","1,48","2017-08-30"
"Citadel Advisors II LLC","Bertrandt Aktiengesellschaft","DE0005232805","0,57","2017-08-30"
"Otus Capital Management Limited","Bertrandt Aktiengesellschaft","DE0005232805","0,22","2017-08-30"
"Pictet Asset Management SA","Bertrandt Aktiengesellschaft","DE0005232805","0,06","2017-08-30"
"BlueCrest Capital Management Limited","CANCOM SE","DE0005419105","0,81","2017-08-30"
"Marshall Wace LLP","Dürr Aktiengesellschaft","DE0005565204","0,92","2017-08-30"
"Marshall Wace LLP","Bilfinger SE","DE0005909006","2,19","2017-08-30"
"Capital Fund Management SA","MorphoSys AG","DE0006632003","1,40","2017-08-30"
"WorldQuant, LLC","MorphoSys AG","DE0006632003","0,50","2017-08-30"
"BlackRock Institutional Trust Company, National Association","Heidelberger Druckmaschinen Aktiengesellschaft","DE0007314007","1,23","2017-08-30"
"Oxford Asset Management","Heidelberger Druckmaschinen Aktiengesellschaft","DE0007314007","0,51","2017-08-30"
"BNP PARIBAS SA","Deutsche EuroShop AG","DE0007480204","0,50","2017-08-30"
"Connor, Clark & Lunn Investment Management Ltd","Nordex SE","DE000A0D6554","0,51","2017-08-30"
"Jericho Capital Asset Management LP","AURELIUS Equity Opportunities SE & Co. KGaA","DE000A0JK2A8","1,52","2017-08-30"
"Marshall Wace LLP","METRO AG","DE000BFB0019","1,40","2017-08-30"
"Citadel Europe LLP","K+S Aktiengesellschaft","DE000KSAG888","0,50","2017-08-30"
"Marshall Wace LLP","K+S Aktiengesellschaft","DE000KSAG888","2,72","2017-08-30"
"WorldQuant, LLC","K+S Aktiengesellschaft","DE000KSAG888","0,51","2017-08-30"
"CQS (UK) LLP","LEG Immobilien AG","DE000LEG1110","2,02","2017-08-30"
"BlackRock Investment Management (UK) Limited","ADVA Optical Networking SE","DE0005103006","2,20","2017-08-29"
"Citadel Advisors II LLC","ADVA Optical Networking SE","DE0005103006","1,52","2017-08-29"
"JPMorgan Asset Management (UK) Ltd","ADVA Optical Networking SE","DE0005103006","3,06","2017-08-29"
"Marshall Wace LLP","ADVA Optical Networking SE","DE0005103006","0,80","2017-08-29"
"Millennium International Management LP","ADVA Optical Networking SE","DE0005103006","0,68","2017-08-29"
"PDT Partners, LLC","ADVA Optical Networking SE","DE0005103006","1,64","2017-08-29"
"Squarepoint Ops LLC","ADVA Optical Networking SE","DE0005103006","0,78","2017-08-29"
"WorldQuant, LLC","Bertrandt Fahrerprobung Süd GmbH","DE0005232805","0,65","2017-08-29"
"BlueCrest Capital Management Limited","CANCOM SE","DE0005419105","0,79","2017-08-29"
"Citadel Europe LLP","LANXESS Aktiengesellschaft","DE0005470405","1,48","2017-08-29"
"Valinor Management, L.P.","Dürr Aktiengesellschaft","DE0005565204","1,06","2017-08-29"
"AHL Partners LLP","Evotec AG","DE0005664809","0,95","2017-08-29"
"Citadel Europe LLP","GEA Group Aktiengesellschaft","DE0006602006","0,80","2017-08-29"
"Marshall Wace LLP","MorphoSys AG","DE0006632003","1,50","2017-08-29"
"Oxford Asset Management","Nordex SE","DE000A0D6554","0,89","2017-08-29"
"Jericho Capital Asset Management LP","AURELIUS Equity Opportunities SE & Co. KGaA","DE000A0JK2A8","1,97","2017-08-29"
"Marshall Wace LLP","AURELIUS Equity Opportunities SE & Co. KGaA","DE000A0JK2A8","1,39","2017-08-29"
"Marshall Wace LLP","TOM TAILOR Holding SE","DE000A0STST2","0,59","2017-08-29"
"WorldQuant, LLC","K+S Aktiengesellschaft","DE000KSAG888","0,49","2017-08-29"
"Tybourne Equity Master Fund","ProSiebenSat.1 Media SE","DE000PSM7770","0,50","2017-08-29"
"Discovery Capital Management, LLC","Wacker Chemie AG","DE000WCH8881","1,05","2017-08-29"
"Macquarie Funds Management Hong Kong Limited","Zeal Network SE","GB00BHD66J44","0,67","2017-08-29"
"HBK Investments L.P.","Chicago Bridge & Iron N.V.","US1672501095","1,51","2017-08-29"
"Capital Fund Management SA","ADVA Optical Networking SE","DE0005103006","0,62","2017-08-28"
"PDT Partners, LLC","ADVA Optical Networking SE","DE0005103006","0,69","2017-08-28"
"WorldQuant, LLC","Bertrandt Fahrerprobung Süd GmbH","DE0005232805","0,74","2017-08-28"
"BNP PARIBAS SA","CANCOM SE","DE0005419105","1,78","2017-08-28"
"Marshall Wace LLP","CANCOM SE","DE0005419105","1,28","2017-08-28"
"AQR Capital Management, LLC","Bilfinger SE","DE0005909006","2,41","2017-08-28"
"Millennium International Management LP","Salzgitter Aktiengesellschaft","DE0006202005","0,46","2017-08-28"
"Numeric Investors LLC","MorphoSys AG","DE0006632003","0,59","2017-08-28"
"Marshall Wace LLP","Nordex SE","DE000A0D6554","2,78","2017-08-28"
"Marshall Wace LLP","K+S Aktiengesellschaft","DE000KSAG888","2,63","2017-08-28"
"Citadel Advisors II LLC","ADVA Optical Networking SE","DE0005103006","0,98","2017-08-25"
"PDT Partners, LLC","ADVA Optical Networking SE","DE0005103006","0,70","2017-08-25"
"WorldQuant, LLC","Bertrandt Fahrerprobung Süd GmbH","DE0005232805","0,80","2017-08-25"
"Marshall Wace LLP","Bilfinger SE","DE0005909006","2,27","2017-08-25"
"Millennium International Management LP","Salzgitter Aktiengesellschaft","DE0006202005","0,52","2017-08-25"
"Citadel Europe LLP","GEA Group Aktiengesellschaft","DE0006602006","0,73","2017-08-25"
"Oxford Asset Management","MorphoSys AG","DE0006632003","0,60","2017-08-25"
"BNP PARIBAS SA","Deutsche EuroShop AG","DE0007480204","0,48","2017-08-25"
"Capital Fund Management SA","thyssenkrupp AG","DE0007500001","0,49","2017-08-25"
"Numeric Investors LLC","Nordex SE","DE000A0D6554","0,47","2017-08-25"
"Millennium International Management LP","SMA Solar Technology AG","DE000A0DJ6J9","0,59","2017-08-25"
"BlackRock Investment Management (UK) Limited","ADVA Optical Networking SE","DE0005103006","2,11","2017-08-24"
"Citadel Advisors II LLC","ADVA Optical Networking SE","DE0005103006","1,02","2017-08-24"
"Millennium International Management LP","ADVA Optical Networking SE","DE0005103006","0,50","2017-08-24"
"Numeric Investors LLC","Bertrandt Aktiengesellschaft","DE0005232805","0,59","2017-08-24"
"GSA Capital Partners LLP","HAMBORNER REIT AG","DE0006013006","0,50","2017-08-24"
"GSA Capital Partners LLP","MorphoSys AG","DE0006632003","0,50","2017-08-24"
"AQR Capital Management, LLC","RWE Aktiengesellschaft","DE0007037129","0,49","2017-08-24"
"AKO Capital LLP","Koenig & Bauer AG","DE0007193500","0,81","2017-08-24"
"Adelphi Capital LLP","CECONOMY AG","DE0007257503","0,51","2017-08-24"
"Marshall Wace LLP","thyssenkrupp AG","DE0007500001","0,52","2017-08-24"
"Marshall Wace LLP","AURELIUS Equity Opportunities SE & Co. KGaA","DE000A0JK2A8","1,49","2017-08-24"
"Marshall Wace LLP","freenet AG","DE000A0Z2ZZ5","0,59","2017-08-24"
"Tower House Partners LLP","freenet AG","DE000A0Z2ZZ5","0,51","2017-08-24"
"BlackRock Institutional Trust Company, National Association","NORMA Group SE","DE000A1H8BV3","0,49","2017-08-24"
"Marshall Wace LLP","METRO AG","DE000BFB0019","1,34","2017-08-24"
"Citadel Europe LLP","K+S Aktiengesellschaft","DE000KSAG888","0,37","2017-08-24"
"Marshall Wace LLP","K+S Aktiengesellschaft","DE000KSAG888","2,50","2017-08-24"
"WorldQuant, LLC","K+S Aktiengesellschaft","DE000KSAG888","0,50","2017-08-24"
"AQR Capital Management, LLC","ProSiebenSat.1 Media SE","DE000PSM7770","0,79","2017-08-24"
"HBK Investments L.P.","Chicago Bridge & Iron N.V.","US1672501095","1,45","2017-08-24"
"Capital Fund Management SA","ADVA Optical Networking SE","DE0005103006","0,54","2017-08-23"
"Citadel Advisors II LLC","ADVA Optical Networking SE","DE0005103006","1,12","2017-08-23"
"WorldQuant, LLC","ADVA Optical Networking SE","DE0005103006","0,44","2017-08-23"
"JPMorgan Asset Management (UK) Ltd","zooplus AG","DE0005111702","0,70","2017-08-23"
"Numeric Investors LLC","Bertrandt Aktiengesellschaft","DE0005232805","0,60","2017-08-23"
"Marshall Wace LLP","CANCOM SE","DE0005419105","1,30","2017-08-23"
"Polygon Global Partners LLP","CANCOM SE","DE0005419105","1,10","2017-08-23"
"Citadel Europe LLP","LANXESS Aktiengesellschaft","DE0005470405","1,50","2017-08-23"
"Marshall Wace LLP","Salzgitter Aktiengesellschaft","DE0006202005","0,82","2017-08-23"
"Millennium International Management LP","Salzgitter Aktiengesellschaft","DE0006202005","0,67","2017-08-23"
"AKO Capital LLP","GEA Group Aktiengesellschaft","DE0006602006","0,87","2017-08-23"
"Oxford Asset Management","MorphoSys AG","DE0006632003","0,59","2017-08-23"
"JPMorgan Asset Management (UK) Ltd","va-Q-tec AG","DE0006636681","0,51","2017-08-23"
"Polygon Global Partners LLP","STADA Arzneimittel Aktiengesellschaft","DE0007251803","0,00","2017-08-23"
"GLG Partners LP","freenet AG","DE000A0Z2ZZ5","0,60","2017-08-23"
"AQR Capital Management, LLC","E.ON SE","DE000ENAG999","0,90","2017-08-23"
"Citadel Europe LLP","K+S Aktiengesellschaft","DE000KSAG888","0,50","2017-08-23"
"Pennant Capital Management, LLC","K+S Aktiengesellschaft","DE000KSAG888","0,40","2017-08-23"
"AQR Capital Management, LLC","Zalando SE","DE000ZAL1111","0,80","2017-08-23"
"Marshall Wace LLP","Zalando SE","DE000ZAL1111","0,71","2017-08-23"
"Macquarie Funds Management Hong Kong Limited","Zeal Network SE","GB00BHD66J44","0,78","2017-08-23"
"HBK Investments L.P.","Chicago Bridge & Iron N.V.","US1672501095","1,36","2017-08-23"
"AHL Partners LLP","LEONI AG","DE0005408884","0,79","2017-08-22"
"Valinor Management, L.P.","Dürr Aktiengesellschaft","DE0005565204","1,19","2017-08-22"
"AHL Partners LLP","Evotec AG","DE0005664809","1,03","2017-08-22"
"Millennium International Management LP","Salzgitter Aktiengesellschaft","DE0006202005","0,76","2017-08-22"
"Marshall Wace LLP","MorphoSys AG","DE0006632003","1,40","2017-08-22"
"BlackRock Investment Management (UK) Limited","RHÖN-KLINIKUM Aktiengesellschaft","DE0007042301","0,49","2017-08-22"
"Polygon Global Partners LLP","STADA Arzneimittel Aktiengesellschaft","DE0007251803","0,95","2017-08-22"
"BlackRock Investment Management (UK) Limited","Südzucker AG","DE0007297004","1,03","2017-08-22"
"Numeric Investors LLC","Nordex SE","DE000A0D6554","0,59","2017-08-22"
"Marshall Wace LLP","TOM TAILOR Holding SE","DE000A0STST2","0,60","2017-08-22"
"JPMorgan Asset Management (UK) Ltd","AIXTRON SE","DE000A0WMPJ6","0,72","2017-08-22"
"Marshall Wace LLP","SLM Solutions Group AG","DE000A111338","0,60","2017-08-22"
"JPMorgan Asset Management (UK) Ltd","SÜSS MicroTec SE","DE000A1K0235","0,53","2017-08-22"
"Old Mutual Global Investors (UK) Limited","ProSiebenSat.1 Media SE","DE000PSM7770","0,70","2017-08-22"
"BlackRock Investment Management (UK) Limited","Software Aktiengesellschaft","DE0003304002","1,10","2017-08-21"
"Citadel Advisors II LLC","ADVA Optical Networking SE","DE0005103006","1,04","2017-08-21"
"WorldQuant, LLC","ADVA Optical Networking SE","DE0005103006","0,57","2017-08-21"
"WorldQuant, LLC","Bertrandt Fahrerprobung Süd GmbH","DE0005232805","0,72","2017-08-21"
"Citadel Advisors LLC","LANXESS Aktiengesellschaft","DE0005470405","0,79","2017-08-21"
"Marshall Wace LLP","Dürr Aktiengesellschaft","DE0005565204","0,80","2017-08-21"
"AQR Capital Management, LLC","Bilfinger SE","DE0005909006","2,31","2017-08-21"
"Capital Fund Management SA","Salzgitter Aktiengesellschaft","DE0006202005","0,50","2017-08-21"
"Marshall Wace LLP","Salzgitter Aktiengesellschaft","DE0006202005","0,73","2017-08-21"
"UBS Asset Management (UK) Ltd","Salzgitter Aktiengesellschaft","DE0006202005","0,96","2017-08-21"
"AQR Capital Management, LLC","GEA Group Aktiengesellschaft","DE0006602006","1,41","2017-08-21"
"Capital Fund Management SA","GEA Group Aktiengesellschaft","DE0006602006","0,70","2017-08-21"
"Capital Fund Management SA","MorphoSys AG","DE0006632003","1,30","2017-08-21"
"Polygon Global Partners LLP","STADA Arzneimittel Aktiengesellschaft","DE0007251803","0,82","2017-08-21"
"BlackRock Institutional Trust Company, National Association","Heidelberger Druckmaschinen Aktiengesellschaft","DE0007314007","1,37","2017-08-21"
"Millennium International Management LP","Deutsche EuroShop AG","DE0007480204","0,51","2017-08-21"
"Capital Fund Management SA","thyssenkrupp AG","DE0007500001","0,50","2017-08-21"
"Marshall Wace LLP","AURELIUS Equity Opportunities SE & Co. KGaA","DE000A0JK2A8","1,51","2017-08-21"
"Citadel Advisors II LLC","Medigene AG","DE000A1X3W00","0,91","2017-08-21"
"Systematica Investments Limited","K+S Aktiengesellschaft","DE000KSAG888","0,52","2017-08-21"
"Schroder Investment Management Limited","Schroder Investment Management Limited","GB0059822006","0,95","2017-08-21"
"Macquarie Funds Management Hong Kong Limited","ZEAL Network SE","GB00BHD66J44","0,80","2017-08-21"
"GLG Partners LP","Software Aktiengesellschaft","DE0003304002","0,88","2017-08-18"
"Citadel Advisors II LLC","ADVA Optical Networking SE","DE0005103006","1,11","2017-08-18"
"Otus Capital Management Limited","Bertrandt Aktiengesellschaft","DE0005232805","0,54","2017-08-18"
"Pictet Asset Management SA","Bertrandt Aktiengesellschaft","DE0005232805","0,51","2017-08-18"
"BNP PARIBAS SA","CANCOM SE","DE0005419105","1,80","2017-08-18"
"Citadel Europe LLP","LANXESS Aktiengesellschaft","DE0005470405","1,49","2017-08-18"
"Millennium International Management LP","Bilfinger SE","DE0005909006","0,50","2017-08-18"
"Citadel Europe LLP","GEA Group Aktiengesellschaft","DE0006602006","0,80","2017-08-18"
"Capital Fund Management SA","thyssenkrupp AG","DE0007500001","0,49","2017-08-18"
"GLG Partners LP","NORMA Group SE","DE000A1H8BV3","0,45","2017-08-18"
"AQR Capital Management, LLC","HUGO BOSS AG","DE000A1PHFF7","1,18","2017-08-18"
"ENA Investment Capital LLP","HUGO BOSS AG","DE000A1PHFF7","2,72","2017-08-18"
"AQR Capital Management, LLC","COMMERZBANK Aktiengesellschaft","DE000CBK1001","0,69","2017-08-18"
"Millennium International Management LP","Dialog Semiconductor GmbH","GB0059822006","0,67","2017-08-18"
"WorldQuant, LLC","Bertrandt Fahrerprobung Süd GmbH","DE0005232805","0,62","2017-08-17"
"Citadel Europe LLP","LANXESS Aktiengesellschaft","DE0005470405","1,56","2017-08-17"
"AHL Partners LLP","Evotec AG","DE0005664809","0,90","2017-08-17"
"Marshall Wace LLP","Bilfinger SE","DE0005909006","2,37","2017-08-17"
"Marshall Wace LLP","GEA Group Aktiengesellschaft","DE0006602006","1,10","2017-08-17"
"AHL Partners LLP","MorphoSys AG","DE0006632003","1,00","2017-08-17"
"BlackRock Investment Management (UK) Limited","RHÖN-KLINIKUM Aktiengesellschaft","DE0007042301","0,55","2017-08-17"
"AKO Capital LLP","Koenig & Bauer AG","DE0007193500","0,72","2017-08-17"
"Thélème Partners LLP","Wirecard AG","DE0007472060","0,47","2017-08-17"
"Capital Fund Management SA","thyssenkrupp AG","DE0007500001","0,50","2017-08-17"
"Marshall Wace LLP","Nordex SE","DE000A0D6554","2,81","2017-08-17"
"JPMorgan Asset Management (UK) Ltd","Rocket Internet SE","DE000A12UKK6","0,49","2017-08-17"
"ENA Investment Capital LLP","HUGO BOSS AG","DE000A1PHFF7","2,80","2017-08-17"
"BlackRock Institutional Trust Company, National Association","K+S Aktiengesellschaft","DE000KSAG888","0,69","2017-08-17"
"Marshall Wace LLP","K+S Aktiengesellschaft","DE000KSAG888","2,41","2017-08-17"
"HBK Investments L.P.","Chicago Bridge & Iron N.V.","US1672501095","1,20","2017-08-17"
"BlackRock Investment Management (UK) Limited","Software Aktiengesellschaft","DE0003304002","1,09","2017-08-16"
"AQR Capital Management, LLC","United Internet AG","DE0005089031","0,89","2017-08-16"
"Millennium International Management LP","ADVA Optical Networking SE","DE0005103006","0,49","2017-08-16"
"WorldQuant, LLC","ADVA Optical Networking SE","DE0005103006","0,60","2017-08-16"
"BlackRock Investment Management (UK) Limited","Bertrandt Aktiengesellschaft","DE0005232805","0,78","2017-08-16"
"BlueCrest Capital Management Limited","CANCOM SE","DE0005419105","0,80","2017-08-16"
"Polygon Global Partners LLP","CANCOM SE","DE0005419105","1,05","2017-08-16"
"Marshall Wace LLP","Salzgitter Aktiengesellschaft","DE0006202005","0,61","2017-08-16"
"AKO Capital LLP","Koenig & Bauer AG","DE0007193500","0,64","2017-08-16"
"BlackRock Institutional Trust Company, National Association","Heidelberger Druckmaschinen Aktiengesellschaft","DE0007314007","1,44","2017-08-16"
"Harbor Spring Capital, LLC","AURELIUS Equity Opportunities SE & Co. KGaA","DE000A0JK2A8","0,80","2017-08-16"
"Marshall Wace LLP","AURELIUS Equity Opportunities SE & Co. KGaA","DE000A0JK2A8","1,41","2017-08-16"
"Marshall Wace LLP","K+S Aktiengesellschaft","DE000KSAG888","2,61","2017-08-16"
"CQS (UK) LLP","LEG Immobilien AG","DE000LEG1110","1,90","2017-08-16"
"Millennium International Management LP","Dialog Semiconductor GmbH","GB0059822006","0,78","2017-08-16"
"BlueCrest Capital Management Limited","CANCOM SE","DE0005419105","0,74","2017-08-15"
"OCH-ZIFF MANAGEMENT EUROPE LIMITED","CANCOM SE","DE0005419105","1,82","2017-08-15"
"Millennium International Management LP","Dürr Aktiengesellschaft","DE0005565204","0,51","2017-08-15"
"AHL Partners LLP","Evotec AG","DE0005664809","0,83","2017-08-15"
"AHL Partners LLP","MorphoSys AG","DE0006632003","0,91","2017-08-15"
"BlackRock Investment Management (UK) Limited","RHÖN-KLINIKUM Aktiengesellschaft","DE0007042301","0,68","2017-08-15"
"Millennium International Management LP","SMA Solar Technology AG","DE000A0DJ6J9","0,67","2017-08-15"
"Marshall Wace LLP","SLM Solutions Group AG","DE000A111338","0,52","2017-08-15"
"ENA Investment Capital LLP","HUGO BOSS AG","DE000A1PHFF7","2,99","2017-08-15"
"AQR Capital Management, LLC","COMMERZBANK Aktiengesellschaft","DE000CBK1001","0,70","2017-08-15"
"BlueMountain Capital Management, LLC","K+S Aktiengesellschaft","DE000KSAG888","0,68","2017-08-15"
"Connor, Clark & Lunn Investment Management Ltd","DREAM GLOBAL REIT","CA26154A1066","0,62","2017-08-14"
"PDT Partners, LLC","ADVA Optical Networking SE","DE0005103006","0,69","2017-08-14"
"Marshall Wace LLP","CANCOM SE","DE0005419105","1,22","2017-08-14"
"OCH-ZIFF MANAGEMENT EUROPE LIMITED","CANCOM SE","DE0005419105","1,68","2017-08-14"
"Marshall Wace LLP","Dürr Aktiengesellschaft","DE0005565204","0,70","2017-08-14"
"Millennium International Management LP","Bilfinger SE","DE0005909006","0,47","2017-08-14"
"Marshall Wace LLP","Salzgitter Aktiengesellschaft","DE0006202005","0,51","2017-08-14"
"Citadel Europe LLP","GEA Group Aktiengesellschaft","DE0006602006","0,70","2017-08-14"
"AQR Capital Management, LLC","Sartorius Aktiengesellschaft","DE0007165631","0,50","2017-08-14"
"BlackRock Institutional Trust Company, National Association","alstria office REIT-AG","DE000A0LD2U1","0,49","2017-08-14"
"UBS Asset Management (UK) Ltd","AIXTRON SE","DE000A0WMPJ6","1,54","2017-08-14"
"ENA Investment Capital LLP","HUGO BOSS AG","DE000A1PHFF7","3,04","2017-08-14"
"Millennium International Management LP","HUGO BOSS AG","DE000A1PHFF7","0,63","2017-08-14"
"Citadel Advisors II LLC","Medigene AG","DE000A1X3W00","0,85","2017-08-14"
"AQR Capital Management, LLC","COMMERZBANK Aktiengesellschaft","DE000CBK1001","0,69","2017-08-14"
"Susquehanna International Holdings LLC","Klöckner & Co SE","DE000KC01000","0,49","2017-08-14"
"Saemor Capital B.V.","PATRIZIA Immobilien AG","DE000PAT1AG3","0,44","2017-08-14"
"BNP PARIBAS SA","SAF-HOLLAND SA","LU0307018795","0,90","2017-08-14"
"PDT Partners, LLC","ADVA Optical Networking SE","DE0005103006","0,72","2017-08-11"
"WorldQuant, LLC","ADVA Optical Networking SE","DE0005103006","0,51","2017-08-11"
"Millennium International Management LP","Salzgitter Aktiengesellschaft","DE0006202005","0,80","2017-08-11"
"Citadel Europe LLP","GEA Group Aktiengesellschaft","DE0006602006","0,68","2017-08-11"
"AHL Partners LLP","MorphoSys AG","DE0006632003","0,82","2017-08-11"
"Thélème Partners LLP","Wirecard AG","DE0007472060","0,58","2017-08-11"
